,AAP,ABBV,ABT,ACN,AGN,AIG,ALL,AMGN,AMZN,AXP,BA,BAC,BIIB,BK,BLK,BMY,C,CAT,CELG,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,F,FB,FDX,FOX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NEE,NKE,ORCL,OXY,PCLN,PEP,PFE,PG,PM,PYPL,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,USD,UTX,V,VZ,WBA,WFC
1,-0.187893044,-0.082518127,-0.011226106,-0.003531571,-0.003238986,-0.002510198,0.015533965,-0.007454821,0.058009093,-0.031106342,-0.019878687,0.021688219,-0.053517232,0.037633136,0.025805888,0.019163529,0.004829983,-0.022733308,-0.139544028,-0.026818759,-0.029964966,-0.021316367,-0.016199491,0.014263299,-0.052832812,-0.062661897,-0.038331919,0.009002393,-0.013647427,-0.061235772,0.034126206,-0.037363481,-0.028474576,0.009002033,-0.002579453,-0.037287045,-0.04374598,-0.015196302,0.018367381,-0.03321167,0.017711583,0.029801267,0.02020754,0.001792551,0.014252914,0.076119289,-0.002207737,-0.006767807,0.019349135,-0.009102476,0.017393942,-0.11457554,0.008996141,0,-0.006482579,0.038362493,-0.014691075,0.018285639,-0.059862168,-0.005412594,0.000391656,-0.020885418,-0.047933917,0.021578121,-0.038105661,0.024492204,0.02084891,-0.023183038,0.008308529,-0.019622616,0.000132257,-0.148815064,-0.012228777,-0.065316627,-0.022976528,-0.01598918,-0.046769503,-0.195415538,0.045255308,-0.01365686,-0.028704495,-0.015255339,-0.094911788,0.001785094,-0.061610172,-0.0859456,0.019827987,-0.050383376,-0.057800237,-0.014918217,0.030523574,0.062292692,-0.033604951,0.050385548,-0.028430911,-0.029116163,0.004557885
2,-0.072871759,0.003727584,-0.012098526,-0.033570675,-0.030977675,-0.033530909,-0.022204724,0.002160798,-0.004668193,-0.03670352,-0.0213213,-0.055025214,0.056233611,-0.061261649,-0.058634952,0.007764415,-0.057033545,-0.050307422,0.083212773,0.012000622,-0.086153846,-0.09571536,-0.145028417,0.001302046,-0.014871237,0.02430592,-0.027249177,-0.039006686,-0.089349138,0.048927433,-0.036074104,-0.002872531,-0.03228022,-0.022964889,-0.071424071,-0.100132188,-0.086444669,-0.069376725,0.032482599,-0.044024526,-0.062051851,-0.010638263,-0.007374384,-0.066504431,-0.15742576,-0.016216567,-0.005570667,-0.025906031,-0.018238786,0.003516999,-0.023369353,-0.334522748,0.001632082,-0.025895931,-0.013851058,-0.014131934,-0.005820474,0.032241172,0.011732852,0.005358724,-0.064972851,-0.039897994,0.005527725,0.012434478,-0.032068902,-0.098100397,0.004708421,0.033011823,-0.062335895,-0.068824904,-0.118396206,-0.005886978,-0.011280428,-0.039857229,0.045693994,0.001481032,0.029286411,0.013996004,0.000401639,-0.021834773,-0.107713934,0.035635259,0.030637114,0.018951732,-0.002746834,-0.089667834,-0.060024009,0.011869921,-0.073459773,-0.078080037,-0.037012028,-0.057453742,-0.006514964,-0.029533236,0.014041224,0.013930302,-0.024232598
3,-0.001248043,-0.047040426,-0.118332215,0.036433261,-0.074934166,-0.065364885,-0.001153783,-0.035430088,-0.078478455,-0.208462744,-0.144982228,-0.139379184,-0.073179001,-0.093820363,-0.056559579,-0.072654022,-0.167220787,-0.084571204,-0.147083851,0.043579046,0.001258088,-0.072377653,-0.166382228,-0.052776723,-0.099204809,0.001347678,-0.026786686,-0.054864703,-0.069528091,0.05773284,-0.027906956,0.057204185,-0.145311382,0.097730365,-0.073554964,0.018414092,0.014291049,-0.016903086,-0.052425889,-0.153147655,-0.110177181,0.001496259,0.002514977,-0.087953038,-0.078016212,-0.040512739,0.006142187,-0.082088976,-0.087378694,0.039410817,-0.064759495,0.077275769,0.012264056,-0.045492999,-0.0103654,-0.048087076,-0.060964024,0.05273003,-0.01575709,0.001979689,-0.056424273,0.028470187,0.064819691,-0.07352493,-0.034489367,-0.177890756,0.005291989,0.078594178,0.007964857,0.015664364,0.021065077,-0.144856569,0.005366063,-0.04569643,0.042363135,0.034597724,0.039999971,-0.095371091,0.045917983,0.043082768,0.044666045,0.040187094,-0.031506692,0.04978175,-0.015363766,0.085027791,-0.025947736,-0.011162588,-0.088261377,-0.017292272,-0.034233341,-0.129696933,-0.082452632,-0.015984135,0.089383085,-0.04009635,-0.050652051
4,-0.041642437,0.004044898,0.007542288,-0.056642803,0.026211435,-0.10818973,0.04840575,-0.068543378,-0.038777993,0.016087769,-0.027805183,-0.103151862,-0.051307363,-0.00309862,-0.000928772,0.018250575,-0.085452024,0.079744752,0.000297609,-0.008459185,0.0344024,0.011075234,-0.123575032,-0.008066122,0.114991482,-0.001541328,-0.02169069,0.038506252,0.003888544,-0.035324688,0.073186857,0.049666667,0.036454018,-0.070987908,0.034540149,0.001844301,0.001853949,0.019832429,0.017458101,0.038072539,-0.022251743,-0.072114335,-0.06947604,-0.063388634,0.020872801,-0.018891779,-0.014871702,0.049667523,-0.03990915,0.008048251,-0.043493068,0.190915076,0.003023279,-0.081632676,0.028550953,-0.070602873,-0.019293682,-0.059545774,-0.051486099,0.007026689,-0.106594335,0.054730042,0.010338054,-0.001553301,-0.010640414,-0.039284249,-0.070005448,-0.001416206,-0.024857505,0.012665171,0.035712097,0.166231868,-0.01221851,-0.016572754,-0.01023178,0.018118722,0.028586757,0.101496419,-0.013540462,-0.051954445,0.003638427,-0.034468977,0.009578051,0.021282504,0.077165932,-0.085003472,0.003596403,0.027698671,0.078943841,0.026254262,-0.03216078,-0.004461782,0.103471964,-0.026754478,-0.000590977,-0.014112626,-0.060472588
5,0.045581935,0.013844498,0.063564706,0.115514793,-0.094217852,0.041827254,0.039500156,0.010378017,0.025214212,0.08098597,0.058186088,0.025018954,-0.039054955,0.000815299,0.05580184,-0.005294301,0.011630724,0.107830445,-0.046761943,0.04930937,0.031408307,0.01941462,0.168601311,0.046904051,0.061125568,0.055239062,0.107628066,0.04701989,0.016999447,0.099931864,0.08825295,0.128737834,0.03132162,0.038972846,0.150940693,0.00606493,0.002877698,-0.049696251,0.063922425,0.024194436,0.047317561,0.036365679,0.027931662,0.015066292,0.081768655,0.061495594,0.058373444,0.127111726,0.065195816,0.009140048,0.000337838,-0.013804527,0.06179904,-0.010035689,0.015449479,0.097190019,0.048834651,0.057467414,-0.029276626,0.011054193,0.054222644,0.044113097,0.015065608,-0.051356905,0.022415459,-0.041395171,0.050399351,0.050976893,-0.02304509,0.076862276,-0.028672776,-0.005370766,0.034211395,-0.013315645,0.013295518,0.071771902,-0.016560561,-0.018614507,-0.016994012,-0.005662891,-0.003513066,0.089281908,0.06748563,0.047606286,0.016304348,0.08607784,0.059018756,0.059422998,-0.007114328,0.072285481,0.017293182,0.115477707,0.053129877,0.024651715,0.05091339,0.048413193,-0.007389162
6,-0.026929261,0.062347651,-0.077980495,-0.029480018,-0.192211566,0.016942995,-0.046607062,0.026855208,0.102071891,0.070867465,0.061751765,0.073746313,0.055461658,0.089629082,0.040288407,0.112001164,0.089710335,0.012110952,0.021938946,-0.00393257,-0.017940844,0.02245757,0.201357521,-0.063949415,-0.041826454,-0.041213509,0.084022892,0.011711818,0.042293348,-0.028965834,-0.002191763,-0.015984296,0.035114504,0.013096709,0.00879821,0.034340658,0.058412032,0.06181055,-0.036955841,-0.062792221,0.043649493,-0.075875725,-0.080281133,0.026842659,0.177258507,-0.007119073,0.009184834,-0.043141895,-0.066872109,0.026467625,0.055620545,0.025996593,-0.043348343,0.028738778,0.041549029,-0.006274549,0.011682434,-0.004172563,0.041707006,0.050152565,0.012118532,-0.000895326,-0.005550301,0.066120369,0.021229031,0.059929414,-0.102573349,-0.009518971,-0.043026482,-0.031584038,0.123900372,0.033823255,-0.00790133,0.088881422,-0.040823609,-0.016340822,-0.005583807,-0.007075491,0.025318469,-0.078498853,0.113976604,-0.030947833,-0.037924475,-0.005889859,-0.039391033,0.029456104,-0.015533276,0.01354676,0.105296569,0.00114343,0.048894299,-0.095197868,0.044013224,-0.004510865,-0.056841309,-0.085582448,0.031578926
7,-0.010420757,0.024251319,0.020077298,0.039947543,0.080876617,0.022795565,0.032894752,-0.006541342,0.056942317,0.001218057,-0.058652289,0.001354096,0.058606485,0.031640937,0.006500708,-0.003613146,-0.00235647,-0.068473719,0.005239554,-0.027083031,0.033806957,-0.004620875,-0.065314773,-0.014311198,0.061380999,-0.049285364,-0.022359869,0.009959946,-0.049252587,-0.00899416,-0.057779371,-0.023368481,-0.009544787,0.002024104,-0.015633362,-0.033068783,-0.048748417,0.000281978,-0.021366106,-0.021797775,-0.014803118,0.053723017,0.048207618,-0.040317711,0.003091582,-0.028886497,-0.00732539,0.05830523,0.032015647,-0.000532133,0.023201066,0.027856737,-0.008448244,-0.022410436,0.012819375,0.052403442,-0.019126471,-0.047893909,0.004062311,0.014240769,-0.006326303,-0.000118742,0.008238276,0.175849437,0.017359838,0.004035253,0.047223848,0.017448798,-0.073334435,-0.00248134,-0.011659898,-0.068077445,-0.021850546,0.057926892,0.000864518,0.001217553,-0.031522271,0.074545039,0.019899316,-0.043061401,-0.039042808,-0.019242234,-0.033639766,0.001278875,-0.141537738,0.004514126,0.047536735,0.011884875,-0.044598285,-0.015941256,-0.003490831,0.147776214,-0.036313125,0.006117805,-0.008183905,-0.039225373,0.002569698
8,0.054062927,-0.014642718,-0.004810101,-0.048063196,-0.046658409,-0.083997278,0.037218193,-0.037330015,-0.005309695,-0.07813694,0.02737118,-0.106998654,-0.156892821,-0.08047342,-0.060506315,0.023375538,-0.096932256,0.048982996,-0.069703831,0.028089889,0.022909179,-0.132614079,-0.010440377,0.029635385,-0.007266401,-0.008697494,0.036586622,0.023925328,-0.007105126,0.085674567,0,0.056669602,-0.041189931,-0.037885166,-0.078445648,-0.082491613,-0.0783646,-0.015763031,0.045499799,-0.036498082,-0.063534085,-0.057277187,-0.060029917,-0.071200843,0.074495821,-0.031404081,0.020888152,-0.004786545,0.036007549,0.075545346,-0.054041755,0.042316261,0.014093982,0.050840644,0.042380695,-0.013703738,-0.086609332,-0.013363983,0.015168324,0.07762047,-0.129969461,0.038117215,0.071639489,-0.068210478,0.02272322,-0.054929065,-0.031788081,0.085309961,0.004915365,0.016641879,0.001590615,-0.023153338,0.043024535,0.013237381,0.035212092,0.02334003,-0.046985198,-0.022266855,0.035888386,0.041955472,0.042446625,0.081904398,0.094017954,0.115672579,0.020610962,-0.037560566,0.025871983,0.049580005,0.037332053,0.046943357,-0.062092977,-0.0073149,0.021923319,-0.063746566,0.107277414,0.066197172,-0.071960745
9,0.033651792,0.056131463,0.131765272,-0.006254396,0.080890491,0.02969548,-0.017682519,0.115050558,0.045653739,0.062118966,0.030611473,0.10610687,0.183097998,0.035751866,0.073165732,0.01396041,0.038890279,0.082537675,0.114101344,0.02028791,0.030177728,0.065438422,-0.061824825,0.071167766,0.060069516,-0.023999989,-0.016034556,0.04983738,-0.021218015,-0.000467138,0.070881244,0.023894507,-0.004716981,0.085384008,0.052392084,-0.017448164,-0.023102347,0.039267038,-0.011114671,-0.063516379,0.091727314,0.099512241,0.114171105,0.071231015,-0.041703269,0.066502163,-0.001459221,0.054282827,0.064427511,0.032484145,0.044237726,0.087165717,-0.033023006,0.04990503,0.013555203,0.033668355,0.071918966,-0.022840531,-0.0250499,0.006894152,0.082299338,0.016064761,-0.019124892,0.053789943,0.012426666,0.108410494,0.107896794,-0.0111,-0.001978079,0.004405286,-0.012422295,0.065837178,0.031146465,0.037109896,0.009554105,-0.010071061,0.024484293,0.180754755,0.034935408,0.018599701,0.012575453,-0.006130447,0.045592678,-0.004140787,0.075374715,0.03148976,0.123007549,0.016612211,0.065376772,-0.002399437,0.052670917,0.219898883,0.047892523,0.047932329,-0.014582963,-0.045870432,0.019987285
10,-0.065994036,-0.042426112,-0.072201389,0.018781033,-0.079730079,0.103670967,0.008334552,-0.023541605,0.001849562,0.022610402,-0.028226183,0.126308374,0.012589929,0.063010126,0.012190462,-0.246751575,0.099493418,0,-0.069317324,-0.010251697,-0.033757744,0.068178414,0.036354405,-0.032645035,0.023104491,-0.000962627,0.014832015,-0.001104245,-0.011304187,-0.06993576,-0.055575458,-0.092365165,0.009615385,0.014560414,0.02022757,-0.084377269,-0.078136736,0.020994065,0.002889246,-0.02585138,0.019808339,-0.007543237,-0.013846263,0.071311256,0.017265823,-0.033508747,0.007162577,-0.015918192,0.029842211,-0.048325406,0.057993747,0.117075722,-0.000460322,-0.065280115,-0.046578226,-0.069857856,0.01640893,-0.019913549,0.035418583,-0.011696559,0.019976505,0.005328465,-0.023059955,0.006616229,0.070405745,0.124912316,0.015553145,-0.058832669,0.040245425,0.001701069,0.044299527,0.044724519,-0.020012852,-0.067274241,0.010415391,-0.002196725,0.002428521,0.019725174,-0.00078437,-0.02429292,0.006882501,-0.043243242,-0.053295275,-0.053265377,-0.070454243,0.021761872,-0.004865427,-0.051982386,0.026542027,0.011202657,0.059261084,0.098382533,-0.004769048,0.033733707,-0.039816477,0.018165789,0.062539175
11,-0.060720586,-0.014992957,-0.000236359,0.061793848,-0.031334106,-0.001178253,0.007573492,-0.019514529,0.086540712,-0.012642615,0.014164827,-0.020650814,0.022873575,-0.038340968,-0.026090286,-0.050035238,-0.002744953,0.08987109,-0.017298147,-0.001750343,0.006829504,0.010551491,0.070689733,-0.023686139,0.004433154,-0.046910194,0.0270432,-0.03745092,-0.014852546,0.008949943,0.035130991,-0.015380065,-0.029742765,0.016644258,0.054576153,-0.00040404,-0.013040016,0.015179325,-0.050641024,0.021958215,-0.000943365,0.01106942,0.015996934,-0.042964757,0.038648508,-0.041346965,0.003961111,-0.004324853,0.048028873,-0.007977872,-0.009224863,0.070337711,-0.023760047,0.039233444,-0.015968146,-0.055337557,0.042511718,-0.000346629,-0.001137634,-0.006668211,0.031816101,-0.020835649,-0.04659228,-0.044055812,-0.007790175,0.004700752,0.000173607,0.010909091,-0.100614945,-0.045675437,-0.051015073,0.037290567,0.013794352,-0.02335643,0.016306217,-0.033790518,0.112408329,0.079250022,-0.027364974,-0.038536707,-0.004052685,0.002344646,-0.041709142,-0.008544873,-0.026919835,0.01855165,0.0068867,0.031383489,0.023507167,-0.00127853,-0.025891438,0.070862078,-0.04797604,0.017220098,-0.011035026,-0.011282781,-0.121951239
